game_id,team,gameday,off_expl_pass_rate,off_expl_rush_rate,off_big_epa_rate,off_bust_epa_rate,off_epa_std,def_expl_pass_allowed,def_expl_rush_allowed,def_big_epa_allowed,def_havoc_epa_rate,def_epa_std_allowed,st_epa_mean,st_epa_std
2025_11_KC_DEN,KC,2025-11-16,0.03571428571428571,0.07142857142857142,0.1,0.02857142857142857,1.3367296652230436,0.12195121951219512,0.0,0.09836065573770492,0.06557377049180328,1.1247139188111241,-0.3265243381197878,1.354530563947125
2025_12_IND_KC,KC,2025-11-23,0.06779661016949153,0.05405405405405406,0.08333333333333333,0.0625,1.3005692723507585,0.058823529411764705,0.0625,0.12,0.04,1.1186279607397829,-0.39598320523509756,0.5615330542463595
2025_13_KC_DAL,KC,2025-11-27,0.1111111111111111,0.1,0.13636363636363635,0.07575757575757576,1.3690116094792444,0.043478260869565216,0.13043478260869565,0.18840579710144928,0.057971014492753624,1.4469517984278302,0.16844965381048332,0.47354288368638436
2025_14_HOU_KC,KC,2025-12-07,0.07317073170731707,0.0,0.07936507936507936,0.15873015873015872,1.2411939144977717,0.05128205128205128,0.0,0.08571428571428572,0.02857142857142857,1.1117057363253908,0.14765265657775548,0.313237545057196
2025_15_LAC_KC,KC,2025-12-14,0.07142857142857142,0.0,0.08196721311475409,0.08196721311475409,1.149282953131602,0.05714285714285714,0.03333333333333333,0.07692307692307693,0.06153846153846154,1.177997278318374,0.3573928130689261,0.3243249099666567
2025_16_KC_TEN,KC,2025-12-21,0.06060606060606061,0.0,0.044444444444444446,0.1111111111111111,1.000838064571571,0.125,0.1282051282051282,0.1267605633802817,0.08450704225352113,1.2764127105778729,0.04173675731872208,0.6440075188535062
2025_17_DEN_KC,KC,2025-12-25,0.0,0.11764705882352941,0.09523809523809523,0.11904761904761904,1.0125800063077581,0.022222222222222223,0.07692307692307693,0.08450704225352113,0.04225352112676056,0.9471794147452359,0.24509900676241225,0.306642385570791
2025_18_KC_LV,KC,2026-01-04,0.023809523809523808,0.09090909090909091,0.046875,0.078125,1.329139082838852,0.0625,0.06451612903225806,0.047619047619047616,0.12698412698412698,1.2493551197559774,0.11286485968263481,0.5315980795933339
2025_11_SEA_LA,LA,2025-11-16,0.03571428571428571,0.17391304347826086,0.13725490196078433,0.0784313725490196,1.4928113014348348,0.0625,0.05555555555555555,0.07142857142857142,0.08333333333333333,1.5552151184897836,-0.1642180292355646,0.7071481160772548
2025_12_TB_LA,LA,2025-11-23,0.08108108108108109,0.05263157894736842,0.125,0.07142857142857142,1.2823204855207622,0.022222222222222223,0.08,0.08571428571428572,0.08571428571428572,1.6083048254928887,-0.1596297923104529,0.9967181774994831
